ts,distance
1621409135000,5.53308
1621408975000,-10.8632
1621408940000,10.9147
1621408625000,-5.5386
1621408595000,2.82852
1621406690000,2.75271
1621405615000,-10.8729
1621405360000,10.8682
1621404570000,-10.9279
1621404495000,11.0038
1621402915000,-5.35828
1621402885000,5.51069
1621395535000,-13.7715
1621395495000,13.8285
1621394905000,-8.33125
1621394870000,8.26535
1621394625000,-8.244
1621394600000,2.75886
1621381665000,5.56541
1621381230000,-5.56519
1621381200000,-5.46631
1621377510000,10.9878
1621377485000,-5.50878
1621374745000,5.60754
1621374450000,-5.48713
1621371815000,5.4256
1621371790000,-2.71192
1621368660000,-8.19675
1621367585000,10.9887
1621367560000,-5.57771
1621366590000,5.53285
1621366555000,-10.992
1621366475000,11.0197
1621366095000,-5.52794
1621366060000,-8.03416
1621365065000,2.79798
1621365035000,8.19472
1621365010000,-2.79093
1621364335000,5.59788
1621364290000,-13.7777
1621364025000,13.9594
1621363825000,-2.76823
1621363790000,-11.0663
1621363755000,11.1501
1621361590000,-5.43204
1621361565000,-2.75251
1621360520000,11.0793
1621360470000,-13.7919
1621358355000,13.9788
1621358315000,-13.8503
1621358090000,13.8719
1621358060000,-5.55406
1621357315000,5.57629
1621356395000,-11.0212
1621356370000,2.7764
1621356345000,5.4564
1621356295000,-8.18165
1621356155000,10.8965
1621354810000,-10.8879
1621354755000,11.1041
1621354680000,-5.66139
1621354660000,-2.75664
1621354525000,8.20617
1621353990000,-13.6946
1621353960000,8.27819
1621353235000,5.52582
1621353215000,-2.75614
1621352725000,-8.20722
1621352535000,8.3064
1621352515000,2.74248
1621352415000,-8.30089
1621352390000,-2.67818
1621352350000,8.28386
1621352320000,-8.21923
1621352120000,10.9788
1621352090000,-8.21964
1621351355000,8.37008
1621351315000,-13.7521
1621350460000,5.56912
1621350040000,5.58506
1621350020000,2.72734
1621349655000,-13.6999
1621349575000,13.8051
1621349550000,-2.72208
1621349525000,2.76284
1621348385000,-5.54878
1621347610000,5.56535
1621347480000,-5.59968
1621347275000,5.3888
1621346695000,-5.602
1621346500000,5.52381
1621346235000,-10.8505
1621346200000,11.0021
1621345280000,-10.9584
1621344945000,8.25867
1621344905000,-13.8522
1621344870000,10.9959
1621344825000,-11.0914
1621344135000,11.0682
1621344105000,-8.181
1621343855000,10.9686
1621343815000,-13.7614
1621343090000,11.1862
1621343065000,-2.78685
1621342975000,5.57181
1621342230000,-10.8781
1621342070000,8.25369
1621341920000,2.70023
1621341460000,-10.9201
1621341430000,8.22915
1621340210000,-11.1151
1621340015000,11.1508
1621339990000,2.74146
1621339755000,-11.0014
1621339720000,11.0806
1621339695000,-5.56697
1621339260000,5.59075
1621339225000,-10.9591
1621338490000,10.9575
1621338455000,-10.9539
1621338360000,10.913
1621338165000,-11.0337
1621338140000,-2.79866
1621337515000,11.1421
1621337495000,2.74216
1621334905000,-10.9256
1621334585000,10.9416
1621334235000,-10.9083
1621333385000,11.0687
1621332460000,-5.55237
1621332345000,5.52576
1621330910000,-5.51519
1621330615000,5.52914
1621330595000,-2.73842
1621329320000,-10.9861
1621329235000,10.9292
1621329215000,2.73828
1621329115000,-10.9607
1621328080000,11.0371
1621328040000,-10.9021
1621327460000,10.9205
1621327435000,-5.54794
1621327400000,5.56269
1621327370000,-8.16002
1621326240000,8.29025
1621326215000,-5.62958
1621325435000,5.57361
1621323415000,-10.9904
1621323375000,11.0627
1621321925000,-10.9785
1621321885000,11.0485
1621321310000,-5.51952
1621321285000,5.57798
1621320370000,-8.21503
1621320300000,8.24503
1621318845000,-13.7243
1621318805000,13.8109
1621318735000,-13.8532
1621318695000,13.8041
1621317900000,-5.55265
1621317870000,-5.45543
1621317810000,10.9978
1621317775000,-11.05
1621316885000,11.0232
1621316395000,-10.9548
1621316320000,10.9728
1621309240000,-8.26999
1621309210000,8.26583
1621309055000,-13.8738
1621309015000,13.9766
1621294850000,-5.71726
1621294375000,5.63618
1621294165000,-5.55809
1621287645000,5.57663
1621287615000,-8.26227
1621287060000,8.28232
1621286970000,-8.27186
1621286940000,-5.56468
1621285470000,13.8416
1621285435000,-8.2752
1621285365000,8.28147
1621285330000,-11.0085
1621285145000,8.20887
1621285095000,2.75977
1621285070000,-5.24765
1621283965000,5.53009
1621283640000,-5.51743
1621283610000,-5.48667
1621282380000,11.042
1621282345000,-10.8308
1621282165000,11.0532
1621280730000,-5.58595
1621279655000,2.76642
1621279340000,2.76942
1621279310000,-8.31262
1621279280000,8.22928
1621279140000,-5.60499
1621279100000,-5.45572
1621278560000,11.071
1621276210000,-13.8295
1621276185000,5.58276
1621276030000,5.57511
1621275995000,2.77839
1621275615000,-5.52353
1621274540000,5.61377
1621274515000,-5.54936
1621273705000,5.59565
1621272005000,-10.8762
1621271960000,-2.76548
1621271800000,11.126
1621271770000,-8.16276
1621270895000,10.883
1621270855000,-11.0271
1621268335000,8.27248
1621268310000,2.77813
1621268285000,-5.51814
1621268215000,2.8016
1621268175000,2.72921
1621267400000,-10.8309
1621267375000,5.55739
1621267250000,5.59105
1621266940000,-2.74957
1621266865000,-11.0562
1621266815000,5.62593
1621266385000,8.26013
1621265860000,-10.9711
1621265810000,11.0242
1621265570000,-13.7385
1621265305000,11.1902
1621265275000,-8.28833
1621265145000,11.0215
1621264580000,-8.18038
1621264505000,-5.604
1621263950000,13.7406
1621263930000,-2.74388
1621263865000,-5.5288
1621263785000,5.56621
1621263555000,-11.1249
1621263425000,11.1525
1621263390000,-11.0589
1621262995000,11.2314
1621262750000,2.72959
1621262235000,-13.7009
1621262190000,13.9048
1621261275000,-13.7639
1621261150000,13.8123
1621261120000,-5.55969
1621260485000,5.6436
1621260455000,-8.21366
1621260430000,5.48774
1621260405000,2.77637
1621260385000,-2.6951
1621260350000,-11.1052
1621260270000,2.7955
1621260240000,8.25757
1621260220000,2.77134
1621259645000,-10.9975
1621259595000,10.9578
1621259350000,-5.58829
1621259330000,2.75961
1621259245000,-11.0259
1621259090000,10.9414
1621259065000,2.73798
1621258375000,-10.8829
1621258335000,10.9642
1621257975000,-11.1347
1621257955000,-2.77775
1621257860000,11.0718
1621257630000,-2.7811
1621257375000,5.52827
1621257335000,-13.7829
1621257110000,11.0069
1621257080000,-8.17116
1621256260000,11.0425
1621256230000,-8.29611
1621255345000,5.56614
1621255325000,2.75918
1621255270000,-10.9832
1621254040000,11.0227
1621254005000,-2.74193
1621253115000,-11.0658
1621253005000,11.1388
1621252985000,-2.79616
1621252665000,5.51346
1621252645000,-2.70943
1621252180000,-11.0856
1621252020000,13.8003
1621251995000,-5.57341
1621251815000,5.55421
1621251790000,-5.54329
1621251170000,5.51775
1621250855000,-5.51016
1621250750000,5.55455
1621250675000,-10.9583
1621250520000,10.9623
1621250370000,-5.50724
1621250340000,5.63898
1621249315000,-5.54282
1621249290000,5.53612
1621249265000,-2.73723
1621249230000,2.85186
1621249195000,-10.9783
1621249160000,8.25411
1621249140000,-2.78402
1621249040000,-2.74811
1621248950000,-2.7284
1621248845000,-2.80306
1621248740000,13.8111
1621248540000,-2.74504
1621248115000,-11.0562
1621247850000,2.8228
1621247820000,2.76166
1621247800000,2.74127
1621247775000,2.79545
1621247750000,2.76647
1621247690000,-8.19072
1621247400000,8.18257
1621247320000,-2.74627
1621247275000,-5.43656
1621247250000,-2.74496
1621247140000,10.8481
1621246370000,-10.8951
1621246315000,11.0471
1621246220000,-10.9295
1621246195000,2.76908
1621245845000,8.13972
1621245745000,-10.9519
1621245720000,5.37987
1621245505000,5.52216
1621245465000,-10.9708
1621245040000,11.142
1621244345000,-10.8489
1621244310000,10.9208
1621244010000,-10.9678
1621243535000,10.9978
1621242970000,-8.144
1621241790000,8.29621
1621241760000,-8.17826
1621241600000,8.27194
1621241330000,-8.17209
1621241300000,8.22372
1621241095000,-8.30821
1621241055000,8.23096
1621241020000,-10.9983
1621241000000,2.75514
1621240615000,8.25873
1621240575000,-10.8728
1621240370000,11.0228
1621239995000,-10.9157
1621239960000,11.0629
1621238640000,-8.22961
1621237670000,8.159
1621233150000,-13.5997
1621233075000,13.8965
1621232590000,-5.49372
1621232560000,-5.43559
1621231705000,10.8843
1621230685000,-10.9505
1621230635000,10.3866
1621229920000,-10.9953
1621229885000,10.9861
1621228835000,-11.0271
1621228795000,11.0557
1621228140000,-5.50935
1621228115000,5.6168
1621225995000,-5.56091
1621224105000,5.58318
1621223895000,-8.25881
1621223865000,8.2547
1621220215000,-13.871
1621220175000,13.8557
1621211910000,-8.36747
1621211880000,8.30996
1621206930000,-5.55167
1621206480000,5.52227
1621206255000,-5.54494
1621203160000,5.58905
1621203130000,-8.18077
1621199075000,8.19551
1621199040000,-10.8279
1621196300000,11.039
1621196280000,-2.72594
1621196210000,2.76176
1621196165000,-8.24778
1621196140000,-2.71307
1621196055000,10.866
1621196025000,-8.24326
1621195665000,8.25003
1621195625000,-13.6621
1621193355000,11.1751
1621192390000,2.7509
1621189805000,-10.9498
1621189755000,10.9227
1621189735000,-2.74579
1621189700000,-8.15377
1621189660000,10.9801
1621189545000,-10.9697
1621189500000,8.21754
1621188220000,-5.58829
1621188200000,-2.78508
1621187675000,10.9522
1621187640000,-11.0376
1621187345000,11.0382
1621186730000,-11.2221
1621186710000,2.76713
1621186555000,5.48792
1621186525000,-8.19467
1621186330000,11.0162
1621186295000,-10.8297
1621185220000,10.8931
1621185180000,-13.6617
1621185080000,11.0407
1621185045000,-11.1313
1621184110000,11.2627
1621184075000,-11.1118
1621182685000,8.18967
1621182660000,2.81686
1621182640000,-2.78402
1621182580000,5.62092
1621182545000,-10.5255
1621181755000,10.8806
1621181345000,-5.53706
1621181320000,2.80519
1621180815000,-11.102
1621180710000,11.1011
1621180665000,2.75065
1621179960000,-10.9784
1621179940000,2.77689
1621179910000,5.50143
1621179890000,-2.768
1621179860000,-8.26616
1621179685000,11.1123
1621179655000,-5.52732
1621178595000,8.18711
1621178575000,-2.77822
1621178160000,-11.0261
1621178105000,11.0718
1621178080000,2.73744
1621177915000,-8.18144
1621177830000,8.35668
1621177720000,-8.25008
1621177660000,5.4718
1621177130000,-11.1747
1621177050000,11.1485
1621176825000,-11.0124
1621176730000,11.1347
1621176710000,2.8318
1621176440000,-5.55659
1621176265000,5.55981
1621176225000,-10.8935
1621176025000,11.0512
1621175985000,-13.6251
1621173775000,11.1002
1621173725000,-11.057
1621173610000,8.25723
1621172625000,5.61714
1621171965000,-11.1103
1621171685000,10.9854
1621171565000,-11.018
1621171525000,-2.78253
1621170180000,11.2185
1621170040000,-11.0183
1621170010000,5.48754
